	Unnamed: 0	chrom	start	end	name	housekeeping	marker Tonsil	ragi
463	567	chr13	30617920	30617920	USPL1	True	False	0.15160291621409544
467	571	chr13	30465936	30465936	HMGB1	True	False	0.14764115280724666
481	589	chr13	49792682	49792682	KPNA3	True	False	0.125370033565943
514	630	chr13	45120510	45120510	GTF2F2	True	False	0.2008002047330387
575	718	chr20	8019761	8019761	TMX4	True	False	0.10531583150132608
602	758	chr13	27425411	27425411	GTF3A	True	False	0.15114917566996586
610	766	chr20	5113042	5113042	TMEM230	True	False	0.06403812703365998
683	877	chr13	38349851	38349851	UFM1	True	False	0.08587377443026895
867	1166	chr13	97953675	97953675	IPO5	True	False	0.4991812735559577
880	1195	chr20	37749851	37749851	CTNNBL1	True	False	0.6501035320629465
932	1300	chr22	31399604	31399604	DRG1	True	False	0.23320222180902903
963	1347	chr21	34122174	34122174	MRPS6	True	False	0.41215206622853373
968	1353	chr13	27171811	27171811	USP12	True	False	0.0705282684641754
991	1387	chr13	41061509	41061509	WBP4	True	False	0.04963689637707825
1032	1455	chr13	45464939	45464939	COG3	True	False	0.26836428276245267
1079	1524	chr20	49936397	49936397	RNF114	True	False	0.16764302002280648
1164	1660	chrX	1392113	1392113	SLC25A6	True	False	0.11891358528800663
1235	1768	chr13	95677139	95677139	DNAJC3	True	False	0.17028332111886343
1292	1851	chr20	33993646	33993646	RALY	True	False	0.14381910474172452
1336	1924	chr13	110915069	110915069	ANKRD10	True	False	0.22605785733472084
1354	1951	chr22	43986344	43986344	SAMM50	True	False	0.3313146771404562
1364	1967	chr13	113188608	113188608	PCID2	True	False	0.4516266864506712
1368	1977	chr20	62143440	62143440	PSMA7	True	False	0.22292929191020827
1387	2008	chr21	33915768	33915768	ATP5PO	True	False	0.2920079300475363
1421	2071	chr20	23637945	23637945	CST3	True	False	0.4531641935545871
1426	2079	chr20	62938147	62938147	GID8	True	False	0.21839618541336434
1446	2119	chr20	2664188	2664188	IDH3B	True	False	0.19553846595338217
1458	2134	chr13	29850617	29850617	UBL3	True	False	0.18278141890272936
1478	2171	chr20	34112243	34112243	EIF2S2	True	False	0.1726661686929287
1505	2210	chr20	49713878	49713878	B4GALT5	True	False	0.1949894543783485
1519	2236	chrX	54440404	54440404	TSR2	True	False	0.21826374782301683
1587	2315	chr20	37503975	37503975	BLCAP	True	False	0.5211221599498714
1640	2385	chrX	16719612	16719612	SYAP1	True	False	0.06478683774577576
1656	2409	chr20	62387297	62387297	RPS21	True	False	0.17440960827623664
1662	2415	chr20	63895182	63895182	DNAJC5	True	False	0.19907594604604953
1677	2438	chr21	44818129	44818129	SUMO3	True	False	0.11723699236776745
1684	2448	chr21	25607517	25607517	MRPL39	True	False	0.18031630532276816
1743	2517	chrX	37847571	37847571	DYNLT3	True	False	0.17715597075464315
1822	2614	chr9	4741202	4741202	AK3	True	False	0.10518514692897211
1825	2618	chr13	48233206	48233206	ITM2B	True	False	0.14314659132261343
1890	2737	chr8	9555912	9555912	TNKS	True	False	0.18414725923063174
1899	2748	chr9	4679569	4679569	CDC37L1	True	False	0.18624076112200946
1977	2857	chr10	12196188	12196188	CDC123	True	False	0.22978471483749
2008	2899	chr10	13348293	13348293	SEPHS1	True	False	0.20141891012784272
2020	2919	chr21	43865223	43865223	AGPAT3	True	False	0.11921771989495342
2022	2923	chrX	40580995	40580995	ATP6AP2	True	False	0.16172768531178486
2024	2926	chr9	33076674	33076674	SMU1	True	False	0.2135526955038925
2043	2963	chr20	62122475	62122475	LSM14B	True	False	0.06062350529407584
2055	2994	chr22	46738252	46738252	CERK	True	False	0.186188731162655
2072	3025	chr22	50343327	50343327	PPP6R2	True	False	0.21307620940871216
2077	3033	chr5	1799750	1799750	MRPL36	True	False	0.14992704813977228
2099	3070	chr21	44119159	44119159	PWP2	True	False	
2154	3152	chrX	54807747	54807747	MAGED2	True	False	0.22194200428865785
2167	3176	chr8	17246857	17246857	CNOT7	True	False	0.07268005129028898
2235	3296	chr20	62302093	62302093	ADRM1	True	False	0.2821315376463457
2253	3332	chr14	63543377	63543377	PPP2R5E	True	False	0.20290595995971808
2442	3606	chr5	6378547	6378547	MED10	True	False	0.16899963408383978
2472	3670	chr20	45363139	45363139	SYS1	True	False	0.26020397041713544
2489	3703	chr9	33290516	33290516	NFX1	True	False	0.06390155669756624
2525	3752	chr6	693139	693139	EXOC2	True	False	0.12752212149017414
2573	3846	chr21	43107524	43107524	U2AF1	True	False	0.2537747982816936
2575	3848	chr13	48037726	48037726	NUDT15	True	False	0.1596356117562568
2577	3851	chr13	48095104	48095104	MED4	True	False	0.13710516132513803
2579	3856	chr20	58693169	58693169	NPEPL1	True	False	0.26068110729250293
2582	3859	chrX	72181765	72181765	PIN4	True	False	0.3151051350205894
2586	3865	chr13	48303751	48303751	RB1	False	True	0.1480522732910096
2636	3945	chr14	60734761	60734761	MNAT1	True	False	0.3399120767481422
2686	4027	chr20	59032335	59032335	ATP5F1E	True	False	0.13384724418720528
2693	4035	chr20	59042786	59042786	PRELID3B	True	False	0.1384198374688564
2726	4086	chrX	76173062	76173062	PBDC1	True	False	0.12535586439660448
2786	4191	chrX	81202102	81202102	SH3BGRL	True	False	0.17350480124845558
2822	4249	chr6	18246124	18246124	DEK	True	False	0.5331321314415647
2841	4277	chr14	69611596	69611596	SUSD6	True	False	0.1343736701463833
2854	4294	chr22	40966201	40966201	RBX1	True	False	0.6732532343976831
2911	4391	chr13	99307399	99307399	GPR183	False	True	0.17460731531011056
2951	4465	chr14	34462240	34462240	SPTSSA	True	False	0.18409612591867508
2958	4481	chr8	20197403	20197403	ATP6V1B2	True	False	0.26399464202446
2969	4499	chr13	45341284	45341284	TPT1	True	False	0.10958636386753577
2980	4521	chr20	44522070	44522070	SERINC3	True	False	0.13574737256199668
2993	4557	chr8	25458433	25458433	KCTD9	True	False	0.07227032591709795
2997	4567	chr22	43015149	43015149	PACSIN2	True	False	0.21426178319394074
3003	4576	chr13	46797420	46797420	ESD	True	False	0.13269714568456548
3057	4662	chr20	44210771	44210771	OSER1	True	False	0.12101973187558246
3065	4676	chr14	74493765	74493765	ISCA2	True	False	0.12991044734115717
3071	4683	chr20	43457896	43457896	SRSF6	True	False	0.08791371817648719
3089	4723	chrX	108091542	108091542	PSMD10	True	False	0.16419174254174765
3103	4740	chr21	42893309	42893309	NDUFV3	True	False	0.13384662833976788
3163	4816	chr13	98577107	98577107	STK24	True	False	0.10328571830257918
3189	4865	chr22	32412247	32412247	RTCB	True	False	0.31382951852612073
3206	4888	chr20	18587942	18587942	DTD1	True	False	0.09321768642489557
3234	4931	chr9	37427706	37427706	GRHPR	True	False	0.2415924369262043
3251	4966	chr8	26383054	26383054	BNIP3L	True	False	0.1537639183063586
3289	5027	chrX	72276227	72276227	RPS4X	True	False	0.09400293375682699
3308	5052	chr10	22003730	22003730	DNAJC1	True	False	0.14822004316862455
3319	5070	chr6	29941260	29941260	HLA-A	True	False	0.17757149536328684
3369	5149	chr8	19817416	19817416	INTS10	True	False	0.14065404239709767
3375	5160	chr20	63216131	63216131	YTHDF1	True	False	0.22523190535671805
3475	5316	chr8	30156369	30156369	DCTN6	True	False	0.11747277009102161
3483	5327	chr17	4263979	4263979	ANKFY1	True	False	0.3044480683079103
3497	5349	chr5	44815219	44815219	MRPS30	True	False	0.1336459467965372
3512	5372	chr11	1302790	1302790	TOLLIP	True	False	0.11594126082863916
3515	5377	chr18	9475513	9475513	RALBP1	True	False	0.1217200756428554
3528	5394	chr18	26090613	26090613	SS18	True	False	0.12982677845273652
3537	5404	chr22	24555999	24555999	SNRPD3	True	False	0.11873725154201716
3548	5420	chr8	23457647	23457647	ENTPD4	True	False	0.10682338846971551
3551	5424	chr17	1456232	1456232	CRK	True	False	0.08399831922242826
3640	5566	chr20	63520765	63520765	PPDPF	True	False	0.20171938636522874
