	Unnamed: 0	chrom	start	end	name	housekeeping	marker Umbilical cord blood	ragi
463	567	chr13	30617920	30617920	USPL1	True	False	0.2922869599797942
467	571	chr13	30465936	30465936	HMGB1	True	False	0.20337962510736263
481	589	chr13	49792682	49792682	KPNA3	True	False	0.2345980561896852
514	630	chr13	45120510	45120510	GTF2F2	True	False	0.27280786300600224
575	718	chr20	8019761	8019761	TMX4	True	False	0.3893057488552474
602	758	chr13	27425411	27425411	GTF3A	True	False	0.17056038425966913
610	766	chr20	5113042	5113042	TMEM230	True	False	0.3055826981666352
644	819	chr13	44576330	44576330	TSC22D1	False	True	0.23336448930389095
677	868	chr20	24949269	24949269	CST7	False	True	0.3954286427543808
683	877	chr13	38349851	38349851	UFM1	True	False	0.09215132558641068
835	1114	chr13	39038456	39038456	NHLRC3	False	True	0.1814373509849289
867	1166	chr13	97953675	97953675	IPO5	True	False	0.6414472455926209
880	1195	chr20	37749851	37749851	CTNNBL1	True	False	0.6041645483088957
885	1206	chr21	29077633	29077633	MAP3K7CL	False	True	0.1506898084307926
912	1261	chr22	33058381	33058381	SYN3	False	True	0.8
915	1267	chr20	38805697	38805697	PPP1R16B	False	True	0.09212732358743007
932	1300	chr22	31399604	31399604	DRG1	True	False	0.2801915614050454
963	1347	chr21	34122174	34122174	MRPS6	True	False	0.7999999999999999
968	1353	chr13	27171811	27171811	USP12	True	False	0.30870955383941784
991	1387	chr13	41061509	41061509	WBP4	True	False	0.36782462262207855
1032	1455	chr13	45464939	45464939	COG3	True	False	0.17897676089106074
1037	1461	chr13	46553170	46553170	LRCH1	False	True	0.2063652176565486
1073	1510	chr20	38926312	38926312	FAM83D	False	True	0.40246617058350825
1079	1524	chr20	49936397	49936397	RNF114	True	False	0.2367890810415086
1112	1579	chrX	347324	347324	PPP2R3B	False	True	0.5869194250675177
1164	1660	chrX	1392113	1392113	SLC25A6	True	False	0.3149954563085243
1194	1698	chr22	39152680	39152680	CBX7	False	True	0.2613502589365551
1224	1747	chr13	67230445	67230445	PCDH9	False	True	0.22556999148290172
1235	1768	chr13	95677139	95677139	DNAJC3	True	False	0.2216378433688899
1266	1812	chrX	1591623	1591623	AKAP17A	False	True	0.32001081753120875
1288	1847	chr20	51768390	51768390	ATP9A	False	True	0.4526008890044171
1292	1851	chr20	33993646	33993646	RALY	True	False	0.041196441017557664
1336	1924	chr13	110915069	110915069	ANKRD10	True	False	0.08790316354132087
1354	1951	chr22	43986344	43986344	SAMM50	True	False	0.40507091126835787
1364	1967	chr13	113188608	113188608	PCID2	True	False	0.6154341047071189
1368	1977	chr20	62143440	62143440	PSMA7	True	False	0.41555108972340665
1387	2008	chr21	33915768	33915768	ATP5PO	True	False	0.33378663252497537
1421	2071	chr20	23637945	23637945	CST3	True	False	0.27059898275833066
1426	2079	chr20	62938147	62938147	GID8	True	False	0.3328171237861554
1446	2119	chr20	2664188	2664188	IDH3B	True	False	0.5015903719983332
1458	2134	chr13	29850617	29850617	UBL3	True	False	0.26934100759771507
1478	2171	chr20	34112243	34112243	EIF2S2	True	False	0.15482535332421749
1505	2210	chr20	49713878	49713878	B4GALT5	True	False	0.48176994136133844
1519	2236	chrX	54440404	54440404	TSR2	True	False	0.43050041829122565
1587	2315	chr20	37503975	37503975	BLCAP	True	False	
1640	2385	chrX	16719612	16719612	SYAP1	True	False	0.22553955870880876
1656	2409	chr20	62387297	62387297	RPS21	True	False	0.4652775950500541
1662	2415	chr20	63895182	63895182	DNAJC5	True	False	0.3194111823008415
1677	2438	chr21	44818129	44818129	SUMO3	True	False	0.38296451276396026
1684	2448	chr21	25607517	25607517	MRPL39	True	False	0.37442792126376634
1743	2517	chrX	37847571	37847571	DYNLT3	True	False	0.2891303893821767
1822	2614	chr9	4741202	4741202	AK3	True	False	0.27703977622271336
1825	2618	chr13	48233206	48233206	ITM2B	True	False	0.4383559301314352
1837	2639	chr20	51542719	51542719	NFATC2	False	True	0.3218948375954412
1890	2737	chr8	9555912	9555912	TNKS	True	False	0.16488778771272777
1899	2748	chr9	4679569	4679569	CDC37L1	True	False	0.138410799435805
1917	2771	chr22	49960772	49960772	PIM3	False	True	0.20375356190973973
1977	2857	chr10	12196188	12196188	CDC123	True	False	0.38709388668677275
2008	2899	chr10	13348293	13348293	SEPHS1	True	False	0.2762089871796469
2020	2919	chr21	43865223	43865223	AGPAT3	True	False	0.4009349180942822
2022	2923	chrX	40580995	40580995	ATP6AP2	True	False	0.2789282401216137
2024	2926	chr9	33076674	33076674	SMU1	True	False	0.22930129244650302
2055	2994	chr22	46738252	46738252	CERK	True	False	0.43794274539446587
2072	3025	chr22	50343327	50343327	PPP6R2	True	False	0.41990460625512
2077	3033	chr5	1799750	1799750	MRPL36	True	False	0.21999485700555976
2099	3070	chr21	44119159	44119159	PWP2	True	False	
2154	3152	chrX	54807747	54807747	MAGED2	True	False	0.3847303611270475
2167	3176	chr8	17246857	17246857	CNOT7	True	False	0.21207207632283864
2220	3272	chr10	12035897	12035897	UPF2	False	True	0.1398402311692829
2235	3296	chr20	62302093	62302093	ADRM1	True	False	0.299329918340217
2253	3332	chr14	63543377	63543377	PPP2R5E	True	False	0.18526763664023552
2279	3372	chr15	24245059	24245059	PWRN1	False	True	0.8000000000000003
2384	3537	chr10	17129811	17129811	CUBN	False	True	0.8
2442	3606	chr5	6378547	6378547	MED10	True	False	0.3138649456929724
2466	3657	chr20	45348424	45348424	SDC4	False	True	0.27809235070500427
2472	3670	chr20	45363139	45363139	SYS1	True	False	0.23096591493255775
2489	3703	chr9	33290516	33290516	NFX1	True	False	0.051177372552794906
2498	3721	chr13	102759072	102759072	CCDC168	False	True	0.44389130780343
2525	3752	chr6	693139	693139	EXOC2	True	False	0.2952139513849697
2573	3846	chr21	43107524	43107524	U2AF1	True	False	
2575	3848	chr13	48037726	48037726	NUDT15	True	False	0.24742514193564175
2577	3851	chr13	48095104	48095104	MED4	True	False	0.1707424470327708
2579	3856	chr20	58693169	58693169	NPEPL1	True	False	0.4329974770861678
2582	3859	chrX	72181765	72181765	PIN4	True	False	0.2338603103868238
2636	3945	chr14	60734761	60734761	MNAT1	True	False	0.5498775815588987
2667	3998	chr13	106535662	106535662	EFNB2	False	True	0.2291732950094243
2686	4027	chr20	59032335	59032335	ATP5F1E	True	False	0.3917382028498071
2693	4035	chr20	59042786	59042786	PRELID3B	True	False	0.26758302355833163
2708	4058	chrX	76427710	76427710	MAGEE1	False	True	0.4041535487386176
2726	4086	chrX	76173062	76173062	PBDC1	True	False	0.33836921529860214
2769	4171	chr8	29350684	29350684	DUSP4	False	True	0.3925096868011559
2786	4191	chrX	81202102	81202102	SH3BGRL	True	False	0.14210946226777976
2822	4249	chr6	18246124	18246124	DEK	True	False	0.45958223798701453
2841	4277	chr14	69611596	69611596	SUSD6	True	False	0.3434848861560728
2846	4282	chr15	40108879	40108879	BMF	False	True	0.18496808842663748
2854	4294	chr22	40966201	40966201	RBX1	True	False	0.5952662946680338
2913	4394	chr18	9708301	9708301	RAB31	False	True	0.3241738074211566
2915	4397	chr6	26925213	26925213	GUSBP2	False	True	0.7999999999999999
2944	4446	chr6	26457961	26457961	BTN2A1	False	True	0.2946278561437007
